Frequency(Hz),IC(Re),IC(-Im)
2655.0362,37841.214,-1065.833
2624.5186,37803.357,-1145.959
2594.0009,37833.674,-1004.238
2563.4832,37795.944,-908.514
2532.9656,37899.827,-902.377
2502.4479,37897.602,-947.661
2471.9303,38001.586,-858.596
2441.4126,37964.093,-755.169
2410.895,37997.423,-695.425
2380.3773,37960.055,-673.831
2349.8596,38028.877,-567.117
2319.342,37991.63,-479.207
2288.8243,38025.191,-428.889
2258.3067,38058.809,-416.987
2227.789,38163.222,-342.362
2197.2713,38126.216,-329.084
2166.7537,38160.005,-272.291
2136.236,38123.122,-234.982
2105.7184,38192.392,-150.432
2075.2007,38226.355,-72.796
2044.6831,38222.306,-39.087
2014.1654,38150.312,14.26
1983.6477,38255.162,82.313
1953.1301,38289.357,82.725
1937.8713,38290.156,171.116
1922.6124,38326.328,225.811
1907.3536,38362.515,150.13
1892.0948,38292.646,225.959
1876.8359,38434.941,286.737
1861.5771,38362.38,248.052
1846.3183,38398.63,246.953
1831.0595,38364.18,356.902
1815.8006,38400.463,335.916
1800.5418,38401.402,415.209
1785.283,38508.44,377.924
1770.0241,38438.688,382.077
1754.7653,38472.307,487.865
1739.5065,38508.67,451.412
1724.2477,38509.688,561.102
1708.9888,38543.349,535.109
1693.73,38511.77,601.746
1678.4712,38613.449,544.493
1663.2123,38579.169,623.243
1647.9535,38580.265,568.559
1632.6947,38619.482,675.266
1617.4359,38615.127,635.408
1602.177,38686.996,683.498
1586.9182,38688.157,741.538
1571.6594,38653.968,720.562
1556.4005,38725.89,738.82
1541.1417,38653.619,831.623
1525.8829,38760.938,869.226
1510.6241,38726.81,868.148
1495.3652,38798.801,906.86
1480.1064,38797.317,955.455
1464.8476,38798.604,957.144
1449.5887,38835.275,1034.546
1434.3299,38798.468,1045.008
1419.0711,38905.908,1070.465
1403.8122,38907.26,1114.715
1388.5534,38908.628,1135.203
1373.2946,38945.384,1159.563
1358.0358,38908.646,1184.945
1342.7769,38945.432,1194.937
1327.5181,38982.237,1242.515
1312.2593,39016.288,1275.635
1297.0004,39017.752,1293.369
1281.7416,39054.607,1321.056
1266.4828,39050.553,1396.084
1251.224,39087.438,1372.924
1235.9651,39127.122,1377.498
1220.7063,39196.639,1405.092
1205.4475,39162.826,1512.386
1190.1886,39199.783,1489.229
1174.9298,39269.347,1533.406
1159.671,39270.961,1590.96
1144.4122,39307.971,1585.498
1129.1533,39342.202,1564.445
1113.8945,39343.865,1579.991
1098.6357,39416.31,1606.595
1083.3768,39415.204,1679.525
1068.118,39416.918,1731.567
1052.8592,39486.608,1737.048
1037.6004,39559.123,1741.548
1022.3415,39596.275,1785.857
1007.0827,39559.858,1825.618
991.8239,39597.042,1843.394
976.565,39669.632,1840.161
968.9356,39704.524,1893.219
961.3062,39671.466,1920.978
953.6768,39741.756,1939.755
946.0474,39744.098,1906.69
938.418,39746.445,1980.907
930.7886,39745.968,1943.279
923.1591,39748.322,1982.107
915.5297,39818.641,1958.856
907.9003,39785.612,2001.006
900.2709,39823.38,1995.594
892.6415,39822.921,2046.456
885.0121,39860.701,2049.897
877.3827,39863.086,2075.465
869.7532,39898.041,2055.528
862.1238,39900.437,2071.141
854.4944,39899.997,2095.458
846.865,39937.807,2116.606
839.2356,39940.217,2100.137
831.6062,40010.604,2124.457
823.9768,39977.617,2104.668
816.3473,40012.605,2158.866
808.7179,40047.596,2126.754
801.0885,40082.591,2166.567
793.4591,40085.034,2183.298
785.8297,40122.895,2209.991
778.2003,40122.492,2236.528
770.5709,40124.949,2220.064
762.9414,40159.969,2223.362
755.312,40197.853,2282.158
747.6826,40232.882,2255.574
740.0532,40235.362,2328.763
732.4238,40234.982,2297.75
724.7944,40272.891,2306.748
717.165,40275.387,2315.746
709.5355,40310.44,2304.656
701.9061,40348.37,2333.581
694.2767,40348.008,2397.766
686.6473,40350.525,2362.49
679.0179,40385.597,2371.325
671.3885,40458.98,2384.759
663.7591,40458.633,2426.809
656.1296,40496.603,2415.89
648.5002,40496.263,2415.87
640.8708,40569.678,2435.952
633.2414,40569.345,2486.865
625.612,40604.449,2466.915
617.9826,40645.348,2493.824
610.3532,40642.131,2493.627
602.7237,40680.146,2518.147
595.0943,40679.833,2509.269
587.4649,40717.861,2536.007
579.8355,40752.993,2535.988
572.2061,40793.944,2560.697
564.5767,40826.177,2587.075
556.9473,40828.793,2604.962
549.3178,40866.858,2589.623
541.6884,40902.015,2618.402
534.059,40901.732,2620.6
526.4296,40942.734,2634.248
518.8002,41045.877,2640.689
511.1708,41045.605,2653.963
503.5414,41083.712,2654.135
495.9119,41124.759,2683.302
488.2825,41195.404,2729.816
484.4678,41198.213,2730.002
480.6531,41198.085,2752.153
476.8384,41233.413,2747.712
473.0237,41200.771,2783.357
469.209,41236.103,2758.972
465.3943,41238.92,2754.728
461.5796,41274.256,2774.665
457.7649,41312.54,2794.802
453.9502,41312.419,2759.333
450.1354,41350.709,2799.418
446.3207,41350.59,2786.111
442.506,41350.472,2832.649
438.6913,41388.771,2808.46
434.8766,41388.655,2810.669
431.0619,41426.961,2821.946
427.2472,41462.315,2821.938
423.4325,41465.16,2828.782
419.6178,41500.518,2859.811
415.8031,41500.407,2824.333
411.9884,41503.258,2884.388
408.1737,41538.621,2844.473
404.359,41541.477,2846.886
400.5443,41576.844,2862.399
396.7295,41615.183,2875.9
392.9148,41615.077,2884.762
389.1001,41653.422,2887.178
385.2854,41653.319,2882.736
381.4707,41691.672,2911.764
377.656,41691.57,2882.928
373.8413,41726.951,2882.921
370.0266,41765.315,2903.08
366.2119,41765.216,2923.033
362.3972,41768.099,2927.671
358.5825,41803.49,2916.574
354.7678,41841.867,2916.776
350.9531,41877.262,2938.95
347.1384,41877.168,2923.417
343.3236,41915.556,2948.019
339.5089,41915.464,2939.14
335.6942,41953.86,2974.837
331.8795,41989.264,2941.556
328.0648,42027.67,2979.474
324.2501,42027.582,2968.375
320.4354,42062.991,2999.428
316.6207,42101.407,2961.919
312.806,42101.322,2992.974
308.9913,42139.745,2984.307
305.1766,42175.163,3015.364
301.3619,42175.081,2979.858
297.5472,42213.516,2995.597
293.7325,42248.939,3008.906
289.9177,42287.383,3035.744
286.103,42284.284,3004.456
282.2883,42322.733,3029.076
278.4736,42358.162,3022.413
274.6589,42396.621,3035.939
270.8442,42432.055,3027.057
267.0295,42467.489,3035.928
263.2148,42502.925,3047.019
259.4001,42505.89,3073.865
255.5854,42544.369,3047.445
251.7707,42579.812,3049.659
247.956,42615.256,3058.532
244.1413,42686.214,3082.943
242.2339,42689.231,3078.721
240.3266,42724.713,3069.84
238.4192,42724.68,3072.057
236.5118,42727.7,3074.494
234.6045,42763.185,3081.151
232.6971,42766.209,3081.369
230.7898,42801.697,3085.807
228.8824,42801.666,3090.245
226.9751,42840.215,3090.463
225.0677,42840.184,3088.241
223.1604,42878.74,3084.019
221.253,42878.71,3095.118
219.3457,42914.204,3106.217
217.4383,42917.241,3110.878
215.531,42952.739,3095.333
213.6236,42952.709,3104.213
211.7162,42955.75,3108.874
209.8089,42991.251,3119.975
207.9015,43026.752,3093.325
205.9942,43029.799,3093.544
204.0868,43029.771,3111.308
202.1795,43068.354,3109.308
200.2721,43103.861,3111.527
198.3648,43103.833,3113.746
196.4574,43142.425,3109.524
194.5501,43142.398,3129.512
192.6427,43177.908,3120.626
190.7354,43216.508,3100.856
188.828,43216.482,3109.739
186.9207,43251.996,3116.4
185.0133,43255.063,3121.064
183.1059,43290.579,3116.62
181.1986,43290.554,3114.396
179.2912,43329.169,3125.725
177.3839,43329.145,3112.394
175.4765,43364.665,3114.614
173.5692,43367.742,3132.608
171.6618,43438.812,3119.276
169.7545,43438.788,3121.496
167.8471,43477.421,3123.94
165.9398,43477.398,3130.604
164.0324,43512.925,3123.936
162.1251,43551.566,3133.046
160.2177,43551.544,3128.601
158.3103,43587.074,3119.711
156.403,43625.724,3117.71
154.4956,43661.257,3135.486
152.5883,43661.236,3131.04
150.6809,43699.895,3135.707
148.7736,43735.431,3131.261
146.8662,43735.41,3129.037
144.9589,43774.078,3111.48
143.0515,43809.618,3140.371
141.1442,43848.294,3122.813
139.2368,43883.837,3116.144
137.3295,43883.817,3145.037
135.4221,43922.503,3131.923
133.5148,43958.048,3131.922
131.6074,43993.594,3125.252
129.7,44032.291,3118.806
127.7927,44067.84,3132.142
125.8853,44103.389,3132.141
123.978,44142.097,3116.802
122.0706,44142.08,3152.371
120.1633,44177.633,3141.254
118.2559,44216.349,3114.798
116.3486,44287.477,3123.69
114.4412,44323.033,3103.679
112.5339,44361.764,3112.794
110.6265,44397.323,3128.357
108.7192,44432.882,3117.239
106.8118,44471.624,3121.908
104.9044,44507.186,3115.236
102.9971,44542.749,3099.67
101.0897,44581.502,3119.905
99.1824,44652.647,3093.219
97.275,44688.213,3102.113
95.3677,44723.779,3090.993
93.4603,44762.549,3095.661
91.553,44798.118,3093.436
89.6456,44869.27,3080.092
87.7383,44908.054,3078.088
85.8309,44979.211,3086.983
83.9236,45014.784,3053.621
82.0162,45053.582,3062.736
80.1089,45124.745,3033.821
78.2015,45160.321,3044.941
76.2941,45199.133,3038.485
74.3868,45270.301,3027.362
72.4794,45341.47,3011.791
70.5721,45380.299,3005.333
68.6647,45415.881,2985.311
66.7574,45522.649,2996.433
64.85,45558.231,2965.289
62.9427,45632.674,2954.377
61.0353,45703.855,2938.804
59.128,45775.036,2914.332
57.2206,45885.098,2903.416
55.3133,45956.284,2887.842
53.4059,46027.471,2861.143
51.4985,46101.96,2839.098
49.5912,46173.152,2812.397
47.6838,46244.345,2790.147
45.7765,46354.458,2779.22
43.8691,46425.656,2728.041
41.9618,46496.855,2696.889
40.0544,46606.994,2657.026
38.1471,46713.803,2608.069
36.2397,46785.008,2568.013
34.3324,46891.818,2514.605
32.425,47001.994,2465.824
30.5177,47108.812,2407.962
28.6103,47215.63,2354.55
26.703,47325.839,2266.806
24.7956,47464.875,2195.429
22.8882,47610.712,2093.207
20.9809,47717.539,2033.114
19.0735,47827.793,1909.729
17.1662,47970.241,1797.326
15.2588,48112.689,1671.569
13.3515,48255.137,1532.457
11.4441,48401.054,1362.281
9.5368,48543.513,1176.414
7.6294,48864.048,1582.65
5.7221,49148.969,1447.98
3.8147,49294.961,1451.423
1.9074,49900.462,1403.562
0.9537,50327.875,1868.819
0.4768,51257.609,2475.611
0.2384,52084.341,3368.827
0.1192,53378.332,4180.204
0.0596,54934.182,5899.81
0.0298,56761.38,8272.498
0.0149,59495.388,11782.946
