Frequency(Hz),IC(Re),IC(-Im)
915.5297,44254.018,2013.46
907.9003,44288.959,2031.166
900.2709,44327.064,2044.586
892.6415,44326.553,2092.213
885.0121,44329.207,2082.365
877.3827,44328.705,2079.016
869.7532,44399.133,2081.209
862.1238,44401.804,2121.232
854.4944,44401.315,2142.266
846.865,44439.462,2130.204
839.2356,44474.447,2173.405
831.6062,44473.969,2192.223
823.9768,44476.668,2153.563
816.3473,44508.492,2199.934
808.7179,44582.136,2211.152
801.0885,44510.741,2229.97
793.4591,44619.866,2206.83
785.8297,44619.414,2260.011
778.2003,44622.148,2242.414
770.5709,44657.174,2265.669
762.9414,44692.204,2292.249
755.312,44730.428,2281.305
747.6826,44694.524,2287.934
740.0532,44768.233,2327.984
732.4238,44732.336,2314.659
724.7944,44802.864,2339.025
717.165,44805.645,2361.343
709.5355,44840.71,2356.887
701.9061,44808.025,2374.772
694.2767,44878.577,2379.185
686.6473,44881.381,2388.204
679.0179,44916.466,2439.184
671.3885,44919.281,2397.203
663.7591,44954.377,2432.663
656.1296,44953.996,2434.86
648.5002,45027.793,2466.061
640.8708,45027.42,2472.694
633.2414,45062.534,2477.109
625.612,45065.385,2514.968
617.9826,45097.291,2505.898
610.3532,45135.637,2530.452
602.7237,45170.769,2528.215
595.0943,45170.422,2532.631
587.4649,45208.788,2566.06
579.8355,45208.449,2537.209
572.2061,45282.316,2586.167
564.5767,45281.986,2575.058
556.9473,45317.147,2614.963
549.3178,45355.549,2590.732
541.6884,45355.231,2612.894
534.059,45390.406,2632.839
526.4296,45428.828,2635.227
518.8002,45464.014,2644.082
511.1708,45537.946,2679.747
503.5414,45573.142,2659.764
495.9119,45572.85,2712.987
488.2825,45682.301,2733.129
484.4678,45646.663,2739.776
480.6531,45649.78,2768.805
476.8384,45685.137,2753.266
473.0237,45684.998,2795.411
469.209,45723.621,2744.571
465.3943,45684.723,2764.334
461.5796,45720.083,2782.074
457.7649,45758.712,2793.358
453.9502,45758.578,2773.382
450.1354,45761.713,2791.322
446.3207,45797.083,2762.469
442.506,45796.952,2811.276
438.6913,45835.597,2793.717
434.8766,45835.469,2809.242
431.0619,45835.341,2800.358
427.2472,45909.501,2818.304
423.4325,45909.375,2807.2
419.6178,45909.251,2831.603
415.8031,45947.915,2829.578
411.9884,45947.793,2836.229
408.1737,45983.18,2822.906
404.359,45986.345,2847.514
400.5443,45986.226,2838.629
396.7295,46021.619,2856.376
392.9148,46060.302,2849.915
389.1001,46060.187,2867.664
385.2854,46098.878,2843.445
381.4707,46098.764,2883.392
377.656,46134.167,2874.507
373.8413,46137.352,2872.485
370.0266,46172.759,2868.039
366.2119,46172.65,2905.769
362.3972,46208.059,2863.586
358.5825,46211.254,2894.863
354.7678,46246.667,2881.537
350.9531,46285.389,2910.598
347.1384,46285.286,2897.271
343.3236,46285.183,2908.365
339.5089,46356.125,2903.918
335.6942,46359.337,2939.644
331.8795,46359.238,2904.113
328.0648,46394.664,2928.53
324.2501,46397.882,2915.411
320.4354,46468.84,2944.27
316.6207,46504.271,2937.603
312.806,46543.03,2931.145
308.9913,46542.937,2940.021
305.1766,46578.374,2942.236
301.3619,46613.812,2935.569
297.5472,46617.054,2966.863
293.7325,46652.497,2935.767
289.9177,46687.94,2973.514
286.103,46691.191,2944.85
282.2883,46726.64,2964.832
278.4736,46762.089,2955.943
274.6589,46765.349,2987.243
270.8442,46800.803,2960.586
267.0295,46836.258,2969.465
263.2148,46871.714,2978.344
259.4001,46874.986,2987.436
255.5854,46910.447,2978.547
251.7707,46945.908,2974.1
247.956,46984.73,2989.857
244.1413,47020.196,2996.516
242.2339,47020.16,2992.071
240.3266,47055.664,3000.954
238.4192,47055.628,3005.394
236.5118,47094.499,3001.164
234.6045,47058.921,3003.383
232.6971,47094.428,2996.716
230.7898,47097.761,2992.485
228.8824,47133.271,3010.256
226.9751,47133.237,2999.145
225.0677,47172.121,3010.466
223.1604,47172.087,3010.464
221.253,47172.054,3003.797
219.3457,47207.568,2999.351
217.4383,47246.462,3024.005
215.531,47246.429,3008.449
213.6236,47246.396,3028.444
211.7162,47285.296,2999.772
209.8089,47285.264,2999.77
207.9015,47320.785,3013.1
205.9942,47320.753,3008.654
204.0868,47324.107,3015.534
202.1795,47395.187,3011.088
200.2721,47430.711,2997.753
198.3648,47434.074,3029.078
196.4574,47434.044,3004.63
194.5501,47469.572,3020.185
192.6427,47472.938,3002.619
190.7354,47508.469,3009.285
188.828,47508.44,3013.728
186.9207,47543.971,3011.503
185.0133,47582.907,3005.049
183.1059,47582.879,3031.719
181.1986,47582.851,3020.604
179.2912,47618.386,3029.493
177.3839,47657.331,3020.817
175.4765,47657.304,3011.924
173.5692,47692.843,3014.145
171.6618,47692.816,3025.257
169.7545,47731.77,3014.357
167.8471,47731.744,3021.025
165.9398,47767.286,3016.577
164.0324,47802.829,3027.69
162.1251,47806.224,3014.567
160.2177,47841.77,3001.226
158.3103,47877.315,3021.233
156.403,47877.291,3021.231
154.4956,47916.266,3021.446
152.5883,47951.815,3030.338
150.6809,47987.364,3012.55
148.7736,47990.775,3014.988
146.8662,48026.327,3006.092
144.9589,48026.305,3017.208
143.0515,48061.858,3014.983
141.1442,48065.276,3008.527
139.2368,48136.409,3015.196
137.3295,48136.388,3028.537
135.4221,48171.944,3021.864
133.5148,48214.403,3017.848
131.6074,48214.382,3013.399
129.7,48246.491,3010.958
127.7927,48285.507,2995.605
125.8853,48356.652,3008.947
123.978,48395.68,3015.834
122.0706,48395.661,2998.04
120.1633,48431.227,3009.159
118.2559,48466.793,3011.382
116.3486,48505.833,3009.372
114.4412,48541.402,2996.026
112.5339,48576.972,3004.922
110.6265,48609.062,3004.705
108.7192,48651.596,3002.91
106.8118,48651.579,3011.807
104.9044,48722.742,2998.459
102.9971,48761.807,2992
101.0897,48758.3,2996.233
99.1824,48797.368,2980.875
97.275,48865.039,2987.334
95.3677,48904.115,2976.424
93.4603,48939.693,2978.648
91.553,48978.778,2987.759
89.6456,49014.359,2972.185
87.7383,49053.452,2970.172
85.8309,49085.521,2969.959
83.9236,49160.218,2959.046
82.0162,49195.802,2970.17
80.1089,49266.985,2941.246
78.2015,49302.57,2965.719
76.2941,49377.289,2939.23
74.3868,49409.338,2939.019
72.4794,49487.609,2930.539
70.5721,49523.201,2934.988
68.6647,49558.792,2917.186
66.7574,49629.986,2923.861
64.85,49662.022,2894.726
62.9427,49740.336,2886.239
61.0353,49811.536,2879.563
59.128,49882.737,2877.337
57.2206,49918.333,2881.787
55.3133,49993.115,2868.64
53.4059,50064.321,2837.483
51.4985,50135.528,2841.933
49.5912,50242.343,2815.227
47.6838,50313.55,2815.227
45.7765,50388.367,2799.848
43.8691,50491.573,2772.942
41.9618,50566.404,2748.658
40.0544,50676.858,2728.822
38.1471,50748.077,2686.532
36.2397,50854.909,2677.628
34.3324,50961.741,2635.338
32.425,51107.848,2597.685
30.5177,51250.304,2557.618
28.6103,51353.465,2506.241
26.703,51499.601,2446.32
24.7956,51610.14,2384.164
22.8882,51748.899,2314.989
20.9809,51859.457,2224.997
19.0735,52069.429,2142.477
17.1662,52215.628,2012.403
15.2588,52393.714,1885.515
13.3515,52571.801,1741.931
11.4441,52749.887,1553.824
9.5368,52967.387,1324.63
7.6294,53394.83,1730.924
5.7221,53715.411,1561.727
3.8147,53893.512,1439.283
1.9074,54324.848,1558.5
0.9537,54823.568,1640.878
0.4768,55540.005,2138.638
0.2384,56363.429,2856.917
0.1192,57404.869,3926.318
0.0596,58677.264,5547.782
0.0298,60351.716,7891.736
0.0149,62894.104,11375.226
